submitted_item	validated_id	current_symbol
FBgn0262962	FBgn0262962	CG43273
FBgn0039232	FBgn0039232	sosie
FBgn0039233	FBgn0039233	CG7006
FBgn0039234	FBgn0039234	Nct
FBgn0039237	FBgn0039237	CG13640
FBgn0015625	FBgn0015625	CycB3
FBgn0039240	FBgn0039240	CG3744
FBgn0039241	FBgn0039241	CG11089
FBgn0043799	FBgn0043799	CG31381
FBgn0051121	FBgn0051121	CG31121
FBgn0039244	FBgn0039244	CG11069
FBgn0040601	FBgn0040601	CG13643
FBgn0265190	FBgn0265190	PIG-S
FBgn0265189	FBgn0265189	sud1
FBgn0039249	FBgn0039249	CG11168
FBgn0039250	FBgn0039250	Mink
FBgn0039252	FBgn0039252	CG11771
FBgn0020626	FBgn0020626	Osbp
FBgn0029157	FBgn0029157	ssh
FBgn0039254	FBgn0039254	Nmnat
FBgn0039257	FBgn0039257	tnc
FBgn0039258	FBgn0039258	β4GalT7
FBgn0039259	FBgn0039259	EMC6
FBgn0015240	FBgn0015240	Hr96
FBgn0039260	FBgn0039260	Smg6
FBgn0039261	FBgn0039261	Ythdf
FBgn0045866	FBgn0045866	bai
FBgn0259178	FBgn0259178	5PtaseI
FBgn0039264	FBgn0039264	CG11786
FBgn0039265	FBgn0039265	CG11790
FBgn0039266	FBgn0039266	CG11791
FBgn0051109	FBgn0051109	CG31109
FBgn0051111	FBgn0051111	CG31111
FBgn0266719	FBgn0266719	stac
FBgn0039269	FBgn0039269	veli
FBgn0039270	FBgn0039270	PQBP1
FBgn0011336	FBgn0011336	Stt3B
FBgn0039271	FBgn0039271	CG11839
FBgn0039272	FBgn0039272	CG11836
FBgn0039273	FBgn0039273	shams
FBgn0039274	FBgn0039274	CG11920
FBgn0004898	FBgn0004898	fd96Cb
FBgn0051108	FBgn0051108	TTLL5
FBgn0051510	FBgn0051510	CG31510
FBgn0046214	FBgn0046214	vig2
FBgn0259152	FBgn0259152	Clbn
FBgn0022800	FBgn0022800	Cad96Ca
FBgn0039291	FBgn0039291	CG13663
FBgn0039293	FBgn0039293	Alg9
FBgn0039294	FBgn0039294	Cad96Cb
FBgn0039296	FBgn0039296	Sil1
FBgn0039297	FBgn0039297	Jhbp7
FBgn0039300	FBgn0039300	RpS27
FBgn0286042	FBgn0286042	sisRNA:CR46364
FBgn0039301	FBgn0039301	Nup37
FBgn0039302	FBgn0039302	Nup358
FBgn0039303	FBgn0039303	CG11857
FBgn0039304	FBgn0039304	Kdsr
FBgn0039305	FBgn0039305	CG11858
FBgn0027090	FBgn0027090	GlnRS
FBgn0039306	FBgn0039306	RIOK2
FBgn0051436	FBgn0051436	CG31436
FBgn0045761	FBgn0045761	CHKov1
FBgn0039328	FBgn0039328	CHKov2
FBgn0039329	FBgn0039329	CG10669
FBgn0028647	FBgn0028647	CG11902
FBgn0004509	FBgn0004509	Fur1
FBgn0051437	FBgn0051437	CG31437
FBgn0039335	FBgn0039335	Vps33B
FBgn0039336	FBgn0039336	CG4553
FBgn0039337	FBgn0039337	MED28
FBgn0039338	FBgn0039338	XNP
FBgn0039339	FBgn0039339	CG5116
FBgn0040212	FBgn0040212	Gnpat
FBgn0053494	FBgn0053494	CG33494
FBgn0011666	FBgn0011666	msi
FBgn0267769	FBgn0267769	lncRNA:CR46100
FBgn0039348	FBgn0039348	Npl4
FBgn0039349	FBgn0039349	Ssadh
FBgn0039350	FBgn0039350	jigr1
FBgn0027508	FBgn0027508	Tnks
FBgn0261986	FBgn0261986	RASSF8
FBgn0039355	FBgn0039355	CG4730
FBgn0039356	FBgn0039356	CG5039
FBgn0039357	FBgn0039357	CG4743
FBgn0039358	FBgn0039358	Idh3g
FBgn0039359	FBgn0039359	RpL27
FBgn0039360	FBgn0039360	CLS
FBgn0051092	FBgn0051092	LpR2
FBgn0066101	FBgn0066101	LpR1
FBgn0039379	FBgn0039379	CG5886
FBgn0027865	FBgn0027865	Tsp96F
FBgn0039381	FBgn0039381	SppL
FBgn0028717	FBgn0028717	Lnk
FBgn0039385	FBgn0039385	CG5913
FBgn0039386	FBgn0039386	Sodq
FBgn0015269	FBgn0015269	Nf1
FBgn0002734	FBgn0002734	E(spl)mδ-HLH
FBgn0002735	FBgn0002735	E(spl)mγ-HLH
FBgn0002733	FBgn0002733	E(spl)mβ-HLH
FBgn0002732	FBgn0002732	E(spl)mα-BFM
FBgn0002592	FBgn0002592	E(spl)m2-BFM
FBgn0263652	FBgn0263652	lncRNA:CR43643
FBgn0002609	FBgn0002609	E(spl)m3-HLH
FBgn0002629	FBgn0002629	E(spl)m4-BFM
FBgn0002632	FBgn0002632	E(spl)m6-BFM
FBgn0002633	FBgn0002633	E(spl)m7-HLH
FBgn0000591	FBgn0000591	E(spl)m8-HLH
FBgn0001139	FBgn0001139	gro
FBgn0266668	FBgn0266668	Exo84
FBgn0039402	FBgn0039402	Vps2
FBgn0028833	FBgn0028833	Cmpk
FBgn0039403	FBgn0039403	Sld5
FBgn0039404	FBgn0039404	CG14543
FBgn0039406	FBgn0039406	RpL34a
FBgn0039407	FBgn0039407	Trmt61
FBgn0039411	FBgn0039411	dysf
FBgn0265378	FBgn0265378	lncRNA:CR44319
FBgn0051324	FBgn0051324	Cipc
FBgn0039415	FBgn0039415	CG6142
FBgn0039417	FBgn0039417	CG6073
FBgn0039419	FBgn0039419	CG12290
FBgn0000064	FBgn0000064	Ald1
FBgn0053970	FBgn0053970	osy
FBgn0085320	FBgn0085320	CG34291
FBgn0263118	FBgn0288888	tx
FBgn0042710	FBgn0042710	Hex-t2
FBgn0039427	FBgn0039427	CG5447
FBgn0262577	FBgn0262577	CG43117
FBgn0039430	FBgn0039430	CG5455
FBgn0039431	FBgn0039431	plum
FBgn0263289	FBgn0263289	scrib
FBgn0039449	FBgn0039449	CG6425
FBgn0039450	FBgn0288631	Yif1
FBgn0039451	FBgn0039451	CG6420
FBgn0040607	FBgn0040607	CG14244
FBgn0262473	FBgn0262473	Tl
FBgn0051072	FBgn0051072	Lerp
FBgn0039459	FBgn0039459	IntS12
FBgn0027889	FBgn0027889	ball
FBgn0001197	FBgn0001197	His2Av
FBgn0026562	FBgn0026562	SPARC
FBgn0004903	FBgn0004903	Rb97D
FBgn0039461	FBgn0039461	CG5500
FBgn0004359	FBgn0004359	T48
FBgn0004510	FBgn0004510	Ets97D
FBgn0285963	FBgn0285963	CG46339
FBgn0039462	FBgn0039462	CG14252
FBgn0039464	FBgn0039464	CG6330
FBgn0039465	FBgn0039465	Tsp97E
FBgn0039466	FBgn0039466	CG5521
FBgn0051075	FBgn0051075	CG31075
FBgn0051076	FBgn0051076	CG31076
FBgn0039469	FBgn0039469	TwdlC
FBgn0029170	FBgn0029170	TwdlT
FBgn0039478	FBgn0039478	Nep5
FBgn0003495	FBgn0003495	spz
FBgn0039479	FBgn0039479	CG14257
FBgn0039480	FBgn0039480	Cpr97Ea
FBgn0039481	FBgn0039481	Cpr97Eb
FBgn0039487	FBgn0039487	gb
FBgn0027574	FBgn0027574	CG5815
FBgn0039488	FBgn0039488	CG6066
FBgn0039489	FBgn0039489	CG5880
FBgn0039492	FBgn0039492	CG6051
FBgn0029155	FBgn0029155	Men-b
FBgn0039494	FBgn0039494	grass
FBgn0039495	FBgn0039495	CG5909
FBgn0085322	FBgn0085322	CG34293
FBgn0003482	FBgn0003482	spn-D
FBgn0004197	FBgn0004197	Ser
FBgn0054006	FBgn0054006	lncRNA:CR34006
FBgn0261995	FBgn0261995	CG42813
FBgn0051064	FBgn0051064	CG31064
FBgn0005696	FBgn0005696	PolA2
FBgn0042111	FBgn0042111	CG18766
FBgn0039501	FBgn0039501	TTLL6B
FBgn0011289	FBgn0011289	TfIIA-L
FBgn0010441	FBgn0010441	pll
FBgn0010328	FBgn0010328	woc
FBgn0002441	FBgn0002441	l(3)mbt
FBgn0039505	FBgn0039505	CG5934
FBgn0046247	FBgn0046247	CG5938
FBgn0039507	FBgn0039507	mrt
FBgn0039508	FBgn0039508	CG3368
FBgn0039509	FBgn0039509	bigmax
FBgn0015737	FBgn0015737	Hmu
FBgn0040609	FBgn0040609	CG3348
FBgn0262613	FBgn0262613	CG43139
FBgn0004387	FBgn0004387	Klp98A
FBgn0065105	FBgn0065105	sncRNA:157
FBgn0027492	FBgn0027492	wdb
FBgn0040080	FBgn0040080	pins
FBgn0039527	FBgn0039527	CG5639
FBgn0039528	FBgn0039528	dsd
FBgn0039531	FBgn0039531	CG5611
FBgn0039532	FBgn0039532	Mtl
FBgn0266579	FBgn0266579	tau
FBgn0002772	FBgn0002772	Mlc1
FBgn0039537	FBgn0039537	Hsdl2
FBgn0039538	FBgn0039538	CG12883
FBgn0003330	FBgn0003330	Sce
FBgn0046258	FBgn0046258	CG12880
FBgn0263024	FBgn0263024	CG43319
FBgn0263025	FBgn0263025	HSPBAP1
FBgn0086346	FBgn0086346	ALiX
FBgn0045862	FBgn0045862	btz
FBgn0039543	FBgn0039543	CROT
FBgn0039544	FBgn0039544	CG12877
FBgn0005659	FBgn0005659	Ets98B
FBgn0039554	FBgn0039554	CG5003
FBgn0039555	FBgn0039555	mRpS22
FBgn0053213	FBgn0053213	Boh1
FBgn0039557	FBgn0039557	CG12259
FBgn0039558	FBgn0039558	BCAS2
FBgn0003279	FBgn0003279	RpL4
FBgn0267126	FBgn0267126	lncRNA:CR45566
FBgn0027579	FBgn0027579	mino
FBgn0039559	FBgn0039559	NSD
FBgn0039560	FBgn0039560	BOD1
FBgn0039561	FBgn0039561	mfrn
FBgn0039562	FBgn0039562	Gp93
FBgn0039563	FBgn0039563	CG4951
FBgn0039566	FBgn0039566	CG4849
FBgn0003890	FBgn0003890	βTub97EF
FBgn0085391	FBgn0085391	trv
FBgn0085466	FBgn0085466	CG34437
FBgn0261618	FBgn0261618	larp
FBgn0039580	FBgn0039580	Gfat2
FBgn0039581	FBgn0039581	Moca-cyp
FBgn0051051	FBgn0051051	CG31051
FBgn0003137	FBgn0003137	Ppn
FBgn0039588	FBgn0039588	mIF2
FBgn0026400	FBgn0026400	Noa36
FBgn0001215	FBgn0001215	Hrb98DE
FBgn0082974	FBgn0082974	snoRNA:Ψ28S-3305c
FBgn0039589	FBgn0039589	CG9986
FBgn0039590	FBgn0039590	CG10011
FBgn0039594	FBgn0039594	snu
FBgn0027655	FBgn0027655	htt
FBgn0005642	FBgn0005642	wdn
FBgn0039600	FBgn0039600	Prp39
FBgn0065070	FBgn0065070	snoRNA:291
FBgn0039601	FBgn0039601	CG1523
FBgn0039602	FBgn0039602	CG1647
FBgn0024273	FBgn0024273	WASp
FBgn0015589	FBgn0015589	Apc
FBgn0264324	FBgn0264324	spg
FBgn0265274	FBgn0265274	Inx3
FBgn0265998	FBgn0265998	Doa
FBgn0039620	FBgn0039620	wat
FBgn0039623	FBgn0039623	CG1951
FBgn0027873	FBgn0027873	Cpsf100
FBgn0039626	FBgn0039626	Slu7
FBgn0003093	FBgn0003093	Pkc98E
FBgn0039627	FBgn0039627	CG11837
FBgn0039631	FBgn0039631	Sirt7
FBgn0039632	FBgn0288875	Cul5
FBgn0039633	FBgn0039633	Bicra
FBgn0039634	FBgn0039634	α-Man-Ib
FBgn0039635	FBgn0039635	Pdhb
FBgn0039636	FBgn0039636	Atg14
FBgn0005596	FBgn0005596	yem
FBgn0039637	FBgn0039637	Ctl2
FBgn0039638	FBgn0039638	dgt6
FBgn0028671	FBgn0028671	Vha100-1
FBgn0039639	FBgn0039639	Alg13
FBgn0039641	FBgn0039641	CG14511
FBgn0039642	FBgn0039642	CG11882
FBgn0014869	FBgn0014869	Pglym78
FBgn0041588	FBgn0041588	eIF2D
FBgn0041186	FBgn0041186	Slbp
FBgn0028692	FBgn0028692	Rpn2
FBgn0039644	FBgn0039644	rdog
FBgn0039647	FBgn0039647	jus
FBgn0039648	FBgn0039648	CG14515
FBgn0014427	FBgn0014427	CG11899
FBgn0039650	FBgn0039650	Mesh1
FBgn0051044	FBgn0051044	lncRNA:CR31044
FBgn0029176	FBgn0029176	eEF1γ
FBgn0062442	FBgn0062442	Cisd2
FBgn0039654	FBgn0039654	Brd8
FBgn0039655	FBgn0039655	CG14507
FBgn0028476	FBgn0028476	Usp1
FBgn0039656	FBgn0039656	CG11951
FBgn0263236	FBgn0263236	SP1029
FBgn0003525	FBgn0003525	stg
FBgn0015622	FBgn0015622	Cnx99A
FBgn0004369	FBgn0004369	Ptp99A
FBgn0039665	FBgn0039665	CG2310
FBgn0039667	FBgn0039667	FipoQ
FBgn0039668	FBgn0039668	Trc8
FBgn0000492	FBgn0000492	Dr
FBgn0086361	FBgn0086361	alph
FBgn0039674	FBgn0039674	CG1907
FBgn0039678	FBgn0039678	Obp99a
FBgn0025457	FBgn0025457	Bub3
FBgn0039680	FBgn0039680	Cap-D2
FBgn0039681	FBgn0039681	CG7582
FBgn0039682	FBgn0039682	Obp99c
FBgn0039685	FBgn0039685	Obp99b
FBgn0039686	FBgn0039686	CG15506
FBgn0085325	FBgn0085325	CG34296
FBgn0024841	FBgn0024841	Pcd
FBgn0039687	FBgn0039687	Naa40
FBgn0042213	FBgn0042213	CG18731
FBgn0039688	FBgn0039688	Kul
FBgn0027583	FBgn0027583	CG7601
FBgn0039689	FBgn0039689	CIA30
FBgn0039690	FBgn0039690	Gnpnat
FBgn0027518	FBgn0027518	Wdr24
FBgn0039691	FBgn0039691	IntS11
FBgn0020235	FBgn0020235	ATPsynγ
FBgn0260990	FBgn0260990	yata
FBgn0001297	FBgn0001297	kay
FBgn0039696	FBgn0039696	Rnb
FBgn0019972	FBgn0019972	Drice
FBgn0039697	FBgn0039697	Etfb
FBgn0039698	FBgn0039698	CG7789
FBgn0002924	FBgn0002924	ncd
FBgn0000247	FBgn0000247	ca
FBgn0039702	FBgn0039702	Vps16B
FBgn0039704	FBgn0039704	neo
FBgn0039705	FBgn0039705	Atg16
FBgn0039709	FBgn0039709	Cad99C
FBgn0039710	FBgn0039710	dgt1
FBgn0039711	FBgn0039711	CG7824
FBgn0051032	FBgn0051032	CR31032
FBgn0039712	FBgn0039712	CG15514
FBgn0039713	FBgn0039713	RpS8
FBgn0086061	FBgn0086061	snoRNA:Or-CD8
FBgn0065066	FBgn0065066	snoRNA:Me28S-A2564
FBgn0039714	FBgn0039714	Zip99C
FBgn0083969	FBgn0083969	CG34133
FBgn0051038	FBgn0051038	CG31038
FBgn0051040	FBgn0051040	Cog7
FBgn0039726	FBgn0039726	eIF2Bα
FBgn0039728	FBgn0039728	CG7896
FBgn0000032	FBgn0000032	Acph-1
FBgn0039730	FBgn0039730	CG7903
FBgn0039731	FBgn0039731	Sas-6
FBgn0039732	FBgn0039732	CG15525
FBgn0039733	FBgn0039733	CG11504
FBgn0039735	FBgn0039735	Nph
FBgn0016685	FBgn0016685	Nlp
FBgn0039737	FBgn0039737	CG7920
FBgn0039738	FBgn0039738	Mgat2
FBgn0026597	FBgn0026597	Axn
FBgn0039740	FBgn0039740	ZIPIC
FBgn0001280	FBgn0001280	janA
FBgn0003512	FBgn0003512	Sry-δ
FBgn0002626	FBgn0002626	RpL32
FBgn0039741	FBgn0039741	CG7943
FBgn0039743	FBgn0039743	Jasper
FBgn0003479	FBgn0003479	spn-A
FBgn0266411	FBgn0266411	sima
FBgn0086355	FBgn0086355	Tpi
FBgn0039748	FBgn0039748	CG15529
FBgn0039749	FBgn0039749	CG11498
FBgn0051030	FBgn0051030	VhaAC45RP
FBgn0051028	FBgn0051028	Rsod
FBgn0002773	FBgn0002773	Mlc2
FBgn0039751	FBgn0039751	CG1983
FBgn0260860	FBgn0260860	Bet5
FBgn0039754	FBgn0039754	CG9747
FBgn0039757	FBgn0039757	RpS7
FBgn0086664	FBgn0086664	snoRNA:Ψ28S-2149
FBgn0083047	FBgn0083047	snoRNA:Ψ18S-1377e
FBgn0083048	FBgn0083048	snoRNA:Ψ18S-1377d
FBgn0083049	FBgn0083049	snoRNA:Ψ18S-1377c
FBgn0083050	FBgn0083050	snoRNA:Ψ18S-1377b
FBgn0086665	FBgn0086665	snoRNA:Ψ18S-1377a
FBgn0082983	FBgn0082983	snoRNA:Ψ28S-2626
FBgn0000279	FBgn0000279	CecC
FBgn0263402	FBgn0263402	CG43448
FBgn0039758	FBgn0039758	CG9737
FBgn0039759	FBgn0039759	CG9733
FBgn0010113	FBgn0010113	heca
FBgn0015222	FBgn0015222	Fer1HCH
FBgn0015221	FBgn0015221	Fer2LCH
FBgn0039764	FBgn0039764	CG15535
FBgn0039765	FBgn0039765	mRpS18C
FBgn0039766	FBgn0039766	CG15536
FBgn0039767	FBgn0039767	CG2218
FBgn0028646	FBgn0028646	aralar1
FBgn0039773	FBgn0039773	CG2224
FBgn0039774	FBgn0039774	CDase
FBgn0039776	FBgn0039776	PH4αEFB
FBgn0260440	FBgn0260440	spdo
FBgn0039784	FBgn0039784	CG9698
FBgn0027654	FBgn0027654	jdp
FBgn0082582	FBgn0082582	tmod
FBgn0083991	FBgn0083991	CG34155
FBgn0039790	FBgn0039790	CG2246
FBgn0039795	FBgn0039795	Spn100A
FBgn0039800	FBgn0039800	Npc2g
FBgn0004606	FBgn0004606	zfh1
FBgn0011739	FBgn0011739	wts
FBgn0039802	FBgn0039802	dj-1β
FBgn0027598	FBgn0027598	cindr
FBgn0039804	FBgn0039804	CG15544
FBgn0039805	FBgn0039805	Cpr100A
FBgn0039806	FBgn0039806	CG15545
FBgn0039807	FBgn0039807	CG15546
FBgn0039809	FBgn0039809	CG15547
FBgn0000416	FBgn0000416	Sap-r
FBgn0010808	FBgn0010808	Chchd3
FBgn0002413	FBgn0002413	dco
FBgn0039821	FBgn0039821	CG15556
FBgn0039827	FBgn0039827	CG1544
FBgn0061476	FBgn0061476	Zwilch
FBgn0039828	FBgn0039828	CG1542
FBgn0039829	FBgn0039829	CG15561
FBgn0039830	FBgn0039830	ATPsynC
FBgn0046696	FBgn0046696	RNaseP:RNA
FBgn0039831	FBgn0039831	CG12054
FBgn0039832	FBgn0039832	CG15563
FBgn0051005	FBgn0051005	qless
FBgn0039835	FBgn0039835	mRpL32
FBgn0039836	FBgn0039836	CG1750
FBgn0086362	FBgn0086362	spn-F
FBgn0040629	FBgn0040629	CAH5
FBgn0085376	FBgn0085376	CG34347
FBgn0039844	FBgn0039844	CG1607
FBgn0019990	FBgn0019990	Gcn2
FBgn0039846	FBgn0039846	PNPase
FBgn0261988	FBgn0261988	Gprk2
FBgn0039849	FBgn0039849	CG11334
FBgn0267115	FBgn0267115	lncRNA:CR45555
FBgn0039851	FBgn0039851	mey
FBgn0039852	FBgn0039852	nyo
FBgn0028968	FBgn0028968	γCOP
FBgn0043900	FBgn0043900	pygo
FBgn0003268	FBgn0003268	rod
FBgn0039855	FBgn0039855	CG1638
FBgn0039856	FBgn0039856	CG1774
FBgn0039857	FBgn0039857	RpL6
FBgn0039858	FBgn0039858	CycG
FBgn0011655	FBgn0288966	Med
FBgn0039859	FBgn0039859	Mnat9
FBgn0039860	FBgn0039860	CG1792
FBgn0039861	FBgn0039861	pasha
FBgn0039863	FBgn0039863	Zmynd8
FBgn0039864	FBgn0039864	CG11550
FBgn0267124	FBgn0267124	lncRNA:CR45564
FBgn0266412	FBgn0266412	lncRNA:CR45052
FBgn0003870	FBgn0003870	ttk
FBgn0039867	FBgn0039867	CstF50
FBgn0039868	FBgn0039868	CG11563
FBgn0000557	FBgn0000557	eEF1α2
FBgn0039869	FBgn0039869	Tbca
FBgn0039870	FBgn0039870	CG1896
FBgn0000150	FBgn0000150	awd
FBgn0261479	FBgn0261479	nero
FBgn0022349	FBgn0022349	CG1910
FBgn0003065	FBgn0003065	CG2150
FBgn0263384	FBgn0263384	lncRNA:CR43436
FBgn0270927	FBgn0270927	βGlu
FBgn0039875	FBgn0039875	sip3
FBgn0039876	FBgn0039876	CG2126
FBgn0005632	FBgn0005632	faf
FBgn0039877	FBgn0039877	Mccc1
FBgn0027620	FBgn0027620	Acf
FBgn0250755	FBgn0250755	CG42233
FBgn0039882	FBgn0039882	Rift
FBgn0266268	FBgn0266268	FeCH
FBgn0011224	FBgn0011224	heph
FBgn0039886	FBgn0039886	CG2003
FBgn0040206	FBgn0040206	krz
FBgn0002780	FBgn0002780	mod
FBgn0002645	FBgn0002645	Map205
FBgn0052475	FBgn0052475	mthl8
FBgn0002564	FBgn0002564	Lsp1γ
FBgn0020386	FBgn0020386	Pdk1
FBgn0035099	FBgn0035099	CG6845
FBgn0035101	FBgn0035101	p130CAS
FBgn0035103	FBgn0035103	Vdup1
FBgn0035104	FBgn0035104	CG13875
FBgn0027786	FBgn0027786	Mtch
FBgn0035106	FBgn0035106	rno
FBgn0035107	FBgn0035107	mri
FBgn0025592	FBgn0025592	Gk1
FBgn0024945	FBgn0024945	NitFhit
FBgn0035109	FBgn0035109	CG13876
FBgn0027587	FBgn0027587	Prp4k
FBgn0035110	FBgn0035110	thoc7
FBgn0035111	FBgn0035111	Dis3l2
FBgn0063923	FBgn0063923	Kaz1-ORFB
FBgn0053229	FBgn0053229	CG33229
FBgn0262109	FBgn0262109	lncRNA:CR42862
FBgn0262035	FBgn0262035	CG42846
FBgn0085483	FBgn0085483	CG34454
FBgn0000541	FBgn0000541	E(bx)
FBgn0024806	FBgn0024806	DIP2
FBgn0035120	FBgn0035120	wac
FBgn0035121	FBgn0035121	Tudor-SN
FBgn0263470	FBgn0263470	snoRNA:Tudor-SN-a
FBgn0083014	FBgn0083014	snoRNA:Ψ18S-996
FBgn0035122	FBgn0035122	mRpL17
FBgn0027111	FBgn0027111	miple1
FBgn0029002	FBgn0029002	miple2
FBgn0052845	FBgn0052845	CG32845
FBgn0264707	FBgn0264707	RhoGEF3
FBgn0004373	FBgn0004373	fwd
FBgn0052344	FBgn0052344	CG32344
FBgn0052343	FBgn0052343	Atac3
FBgn0261985	FBgn0261985	Ptpmeg
FBgn0035131	FBgn0035131	mthl9
FBgn0035132	FBgn0035132	mthl10
FBgn0023000	FBgn0023000	mth
FBgn0265574	FBgn0265574	Cdc5
FBgn0035137	FBgn0035137	CG1233
FBgn0262139	FBgn0262139	trh
FBgn0266927	FBgn0266927	lncRNA:CR45378
FBgn0035139	FBgn0035139	CG13891
FBgn0001316	FBgn0001316	klar
FBgn0085296	FBgn0085296	CG34267
FBgn0085297	FBgn0085297	CG34268
FBgn0085298	FBgn0085298	CG34269
FBgn0035140	FBgn0035140	BORCS6
FBgn0035141	FBgn0035141	Cypl
FBgn0035142	FBgn0035142	Hipk
FBgn0267458	FBgn0267458	lncRNA:CR45808
FBgn0035145	FBgn0035145	MED14
FBgn0016715	FBgn0016715	Reg-2
FBgn0286827	FBgn0286827	lncRNA:CR43334
FBgn0035147	FBgn0035147	Gale
FBgn0035148	FBgn0035148	CG3402
FBgn0035149	FBgn0035149	MED30
FBgn0035150	FBgn0035150	Rev1
FBgn0035151	FBgn0035151	CG17129
FBgn0035152	FBgn0035152	CG3386
FBgn0035155	FBgn0035155	RabX6
FBgn0260862	FBgn0260862	Vti1a
FBgn0035157	FBgn0035157	CG13894
FBgn0035158	FBgn0035158	CG13895
FBgn0025676	FBgn0025676	CkIIα-i3
FBgn0035159	FBgn0035159	CG13896
FBgn0264310	FBgn0264310	lncRNA:CR43785
FBgn0035160	FBgn0035160	hng3
FBgn0000575	FBgn0000575	emc
FBgn0035162	FBgn0035162	Sf3b3
FBgn0086063	FBgn0086063	snoRNA:Me28S-C788a
FBgn0086064	FBgn0086064	snoRNA:Me28S-G3113b
FBgn0086065	FBgn0086065	snoRNA:Me28S-G3113a
FBgn0083057	FBgn0083057	snoRNA:Ψ18S-110
FBgn0082973	FBgn0082973	snoRNA:Ψ28S-3308
FBgn0083058	FBgn0083058	snoRNA:Ψ18S-1086
FBgn0260755	FBgn0260755	CG42553
FBgn0260756	FBgn0260756	CG42554
FBgn0035164	FBgn0035164	CG13901
FBgn0035165	FBgn0035165	CG13887
FBgn0035166	FBgn0035166	JMJD5
FBgn0035169	FBgn0035169	Dci
FBgn0052479	FBgn0052479	Usp10
FBgn0035173	FBgn0035173	CG13907
FBgn0263461	FBgn0263461	snoRNA:CG32479-a
FBgn0054056	FBgn0054056	CG34056
FBgn0054057	FBgn0054057	CG34057
FBgn0264574	FBgn0264574	Glut1
FBgn0035179	FBgn0035179	CG12038
FBgn0024277	FBgn0024277	trio
FBgn0035181	FBgn0035181	CG9205
FBgn0025525	FBgn0025525	bab2
FBgn0004431	FBgn0004431	LysX
FBgn0264272	FBgn0264272	mwh
FBgn0035189	FBgn0035189	CG9119
FBgn0035193	FBgn0035193	CG9192
FBgn0004378	FBgn0004378	Klp61F
FBgn0035194	FBgn0035194	Psf1
FBgn0283500	FBgn0283500	Sac1
FBgn0035199	FBgn0035199	tfc
FBgn0262937	FBgn0262937	Rabex-5
FBgn0025682	FBgn0025682	scf
FBgn0010333	FBgn0010333	Rac1
FBgn0035203	FBgn0035203	Acat2
FBgn0035204	FBgn0035204	Nt5a
FBgn0035205	FBgn0035205	Ctr9
FBgn0035206	FBgn0035206	sturkopf
FBgn0035207	FBgn0035207	Herc4
FBgn0010246	FBgn0010246	Myo61F
FBgn0035208	FBgn0035208	CG9184
FBgn0011361	FBgn0011361	ND-ACP
FBgn0035209	FBgn0035209	msd1
FBgn0035210	FBgn0035210	msd5
FBgn0035211	FBgn0035211	CG2211
FBgn0010786	FBgn0010786	Hmbs
FBgn0035213	FBgn0035213	indra
FBgn0267487	FBgn0267487	Ptp61F
FBgn0029514	FBgn0029514	CG9166
FBgn0003295	FBgn0003295	ru
FBgn0004635	FBgn0004635	rho
FBgn0263839	FBgn0263839	sncRNA:CR43701
FBgn0086670	FBgn0086670	snoRNA:Ψ28S-2622
FBgn0043458	FBgn0043458	CG12084
FBgn0028577	FBgn0028577	hfp
FBgn0261243	FBgn0261243	Psa
FBgn0011204	FBgn0011204	cue
FBgn0035227	FBgn0035227	Iml1
FBgn0035228	FBgn0035228	CG12091
FBgn0035229	FBgn0035229	pns
FBgn0041342	FBgn0041342	Pcyt1
FBgn0035232	FBgn0035232	CG12099
FBgn0035233	FBgn0035233	Pex10
FBgn0035235	FBgn0035235	CG7879
FBgn0035234	FBgn0035234	CG12003
FBgn0035236	FBgn0035236	Tmep
FBgn0035237	FBgn0035237	CG13917
FBgn0035238	FBgn0035238	CG12104
FBgn0035243	FBgn0035243	CG13926
FBgn0035244	FBgn0035244	ABCB7
FBgn0053230	FBgn0053230	CG33230
FBgn0035246	FBgn0035246	CG13928
FBgn0013342	FBgn0013342	nSyb
FBgn0035247	FBgn0035247	Mettl2
FBgn0013753	FBgn0013753	Bgb
FBgn0025725	FBgn0025725	αCOP
FBgn0035248	FBgn0035248	CG13919
FBgn0035249	FBgn0035249	CG17249
FBgn0025712	FBgn0025712	CG13920
FBgn0035251	FBgn0035251	Vta1
FBgn0035252	FBgn0035252	CG7970
FBgn0035253	FBgn0035253	Srrm234
FBgn0035254	FBgn0035254	CG7974
FBgn0026372	FBgn0026372	RpL23A
FBgn0082945	FBgn0082945	snoRNA:Me28S-A2634b
FBgn0082946	FBgn0082946	snoRNA:Me28S-A2634a
FBgn0035260	FBgn0035260	CG7991
FBgn0027594	FBgn0027594	drpr
FBgn0035262	FBgn0035262	CG18171
FBgn0035264	FBgn0035264	Oseg4
FBgn0035266	FBgn0035266	Gk2
FBgn0035267	FBgn0035267	CG13921
FBgn0022702	FBgn0022702	Cht2
FBgn0035268	FBgn0035268	CG8001
FBgn0035270	FBgn0035270	CG13933
FBgn0027903	FBgn0027903	PolD2
FBgn0035271	FBgn0035271	CG2021
FBgn0035272	FBgn0035272	mRpL46
FBgn0250789	FBgn0250789	α-Spec
FBgn0024510	FBgn0024510	dlt
FBgn0011573	FBgn0011573	Cdc37
FBgn0067864	FBgn0067864	Patj
FBgn0025820	FBgn0025820	JTBR
